miRNA Name	Gene Symbol
hsa-miR-940	NRXN2
hsa-miR-940	MOB3A
hsa-miR-940	PPP1R13L
hsa-miR-940	ZSCAN29
hsa-miR-940	MIEF2
hsa-miR-940	TMEM109
hsa-miR-940	RNF39
hsa-miR-940	SRC
hsa-miR-940	ZNF12
hsa-miR-940	TMEM241
hsa-miR-940	IQGAP3
hsa-miR-940	KIAA0513
hsa-miR-940	ATRN
hsa-miR-940	CD276
hsa-miR-940	CPSF7
hsa-miR-940	RNF41
hsa-miR-940	FAM193A
hsa-miR-940	PLXNA2
hsa-miR-940	PDE7B
hsa-miR-940	SERP1
hsa-miR-940	PDE7A
hsa-miR-940	RBPMS2
hsa-miR-940	FIBCD1
hsa-miR-940	SPIN1
hsa-miR-940	TBC1D16
hsa-miR-940	CEP170B
hsa-miR-940	CHST11
hsa-miR-940	SAMD4B
hsa-miR-940	MBD6
hsa-miR-940	LSM12
hsa-miR-940	DNAJC30
hsa-miR-940	CHST6
hsa-miR-940	CRIP2
hsa-miR-940	GUF1
hsa-miR-940	SCAMP2
hsa-miR-940	KLHL30
hsa-miR-940	RHPN1
hsa-miR-940	LOC102723960
hsa-miR-940	ELOVL1
hsa-miR-940	NUAK1
hsa-miR-940	KRT13
hsa-miR-940	BSPRY
hsa-miR-940	SORCS1
hsa-miR-940	AMMECR1
hsa-miR-940	EP300
hsa-miR-940	FSTL4
hsa-miR-940	ELFN2
hsa-miR-940	EIF2B2
hsa-miR-940	RAB3D
hsa-miR-940	ZNF24
hsa-miR-940	IFLTD1
hsa-miR-940	LPCAT3
hsa-miR-940	BCR
hsa-miR-940	TNFAIP2
hsa-miR-940	DEDD
hsa-miR-940	SEMA5A
hsa-miR-940	GYPE
hsa-miR-940	ULK1
hsa-miR-940	CRHR1
hsa-miR-940	MAF1
hsa-miR-940	PSAPL1
hsa-miR-940	LRP4
hsa-miR-940	DTX2
hsa-miR-940	ABR
hsa-miR-940	FOXK1
hsa-miR-940	KIAA1715
hsa-miR-940	USP46
hsa-miR-940	RBBP5
hsa-miR-940	ITGAL
hsa-miR-940	NRBP2
hsa-miR-940	C2CD2
hsa-miR-940	KLF17
hsa-miR-940	TLL1
hsa-miR-940	ANGEL1
