V1,V2
ENSG00000212678,NAP1L5
ENSG00000212678,SAT1
ENSG00000212678,ENSG00000215693
ENSG00000212678,FEZ1
ENSG00000212678,NAT9
ENSG00000212678,TMEM230
INO80B,CHD2
INO80B,CHD8
INO80B,FAM120C
INO80B,ADARB2
INO80B,ALPP
INO80B,ARID5B
INO80B,MCRS1
INO80B,NEDD4
INO80B,OGT
INO80B,PARP12
INO80B,GSC
INO80B,LHX1
INO80B,STOM
INO80B,WWP1
INO80B,ZMYND11
INO80B,ZNF106
INO80B,RBAK
INO80B,RSBN1
INO80B,ZNF317
INO80B,ZNF362
INO80B,ZNF592
INO80B,ZSCAN12
INO80B,ENSG00000206407
INO80B,RREB1
INO80B,TCF3
INO80B,YAP1
INO80B,BEND3
INO80B,DHX30
INO80B,SUMO1
INO80B,PPP1R10
INO80B,ENSG00000206489
INO80B,CENPV
INO80B,BCKDK
INO80B,ZNF174
INO80B,ZNF462
INO80B,ZNF768
INO80B,ZNF687
INO80B,UIMC1
INO80B,CACTIN
INO80B,DHX35
CHD2,CHD8
CHD2,FAM120C
CHD2,ADARB2
CHD2,ALPP
CHD2,ARID5B
CHD2,OGT
CHD2,PARP12
CHD2,STOM
CHD2,ZMYND11
CHD2,ZNF106
CHD2,RBAK
CHD2,RSBN1
CHD2,ZNF317
CHD2,ZNF362
CHD2,ZNF592
CHD2,ZSCAN12
CHD2,ENSG00000206407
CHD2,PTCH1
CHD2,RREB1
CHD2,BEND3
CHD2,DHX30
CHD2,SUMO1
CHD2,PPP1R10
CHD2,ENSG00000206489
CHD2,CENPV
CHD2,BCKDK
CHD2,ZNF174
CHD2,ZNF462
CHD2,ZNF768
CHD2,ZNF687
CHD2,hsa-miR-429
CHD2,hsa-miR-1254
CHD2,hsa-miR-421
CHD8,FAM120C
CHD8,ADARB2
CHD8,ALPP
CHD8,ARID5B
CHD8,MCRS1
CHD8,OGT
CHD8,PARP12
CHD8,STOM
CHD8,ZMYND11
CHD8,ZNF106
CHD8,RBAK
CHD8,RSBN1
CHD8,KANSL1
CHD8,KAT8
CHD8,ZNF317
CHD8,ZNF362
CHD8,ZNF592
CHD8,ZSCAN12
CHD8,ENSG00000206407
CHD8,ASH2L
CHD8,PELP1
CHD8,RREB1
CHD8,SUMO3
CHD8,NCOR2
CHD8,KMT2A
CHD8,RNASEK-C17orf49
CHD8,RNF2
CHD8,SENP3
CHD8,MEIS1
CHD8,LRPAP1
CHD8,CTCF
CHD8,ARID1B
CHD8,PBXIP1
CHD8,MCAT
CHD8,FAM98A
CHD8,ASCC3
CHD8,BEND3
CHD8,RBM33
CHD8,DDB2
CHD8,NUFIP2
CHD8,CLK3
CHD8,DHX30
CHD8,HELZ
CHD8,SUMO1
CHD8,PPP1R10
CHD8,ENSG00000206489
CHD8,CENPV
CHD8,BCKDK
CHD8,ZNF174
CHD8,ZNF462
CHD8,ZNF768
CHD8,ZNF687
CHD8,SUMO4
FAM120C,ADARB2
FAM120C,ALPP
FAM120C,ARID5B
FAM120C,OGT
FAM120C,PARP12
FAM120C,STOM
FAM120C,ZMYND11
FAM120C,ZNF106
FAM120C,RBAK
FAM120C,RSBN1
FAM120C,ZNF317
FAM120C,ZNF362
FAM120C,ZNF592
FAM120C,ZSCAN12
FAM120C,ENSG00000206407
FAM120C,RREB1
FAM120C,BEND3
FAM120C,DHX30
FAM120C,SUMO1
FAM120C,PPP1R10
FAM120C,ENSG00000206489
FAM120C,CENPV
FAM120C,BCKDK
FAM120C,ZNF174
FAM120C,ZNF462
FAM120C,ZNF768
FAM120C,ZNF687
ADARB2,ALPP
ADARB2,ARID5B
ADARB2,OGT
ADARB2,PARP12
ADARB2,STOM
ADARB2,ZMYND11
ADARB2,ZNF106
