ZNF510 	hsa-miR-15b-5p
UBC 	hsa-miR-20a-5p
C1QBP 	hsa-miR-20a-5p
C1QBP 	hsa-miR-15b-5p
C1QBP 	hsa-miR-423-3p
RPP30 	hsa-miR-769-5p
FDFT1 	hsa-miR-423-3p
FEM1C 	hsa-miR-20a-5p
PPP2R5C 	hsa-miR-181c-5p
GNB1 	hsa-miR-769-5p
GNB1 	hsa-miR-181c-5p
ID4 	hsa-miR-27b-3p
ID4 	hsa-miR-340-5p
SQSTM1 	hsa-miR-769-5p
ARF1 	hsa-miR-15b-5p
GNAI3 	hsa-miR-20a-5p
ZYX 	hsa-miR-96-5p
KPNA2 	hsa-miR-20a-5p
ODC1 	hsa-miR-15b-5p
BTBD3 	hsa-miR-20a-5p
RAB12 	hsa-miR-20a-5p
CENPQ 	hsa-miR-20a-5p
CD164 	hsa-miR-96-5p
IGF1R 	hsa-miR-20a-5p
IGF1R 	hsa-miR-340-5p
WEE1 	hsa-miR-15b-5p
WEE1 	hsa-miR-27b-3p
IPPK 	hsa-miR-15b-5p
KLHL21 	hsa-miR-27b-3p
CCDC117 	hsa-miR-769-5p
RNF217 	hsa-miR-15b-5p
TSG101 	hsa-miR-20a-5p
NOTCH1 	hsa-miR-27b-3p
CCND1 	hsa-miR-20a-5p
DLX5 	hsa-miR-141-3p
NLK 	hsa-miR-181c-5p
RECK 	hsa-miR-15b-5p
MITF 	hsa-miR-96-5p
CCND1 	hsa-miR-15b-5p
SMAD4 	hsa-miR-20a-5p
PTPN13 	hsa-miR-200c-3p
EIF4E 	hsa-miR-141-3p
PAK1 	hsa-miR-377-3p
MAP3K12 	hsa-miR-20a-5p
NEBL 	hsa-miR-20a-5p
RAE1 	hsa-miR-96-5p
CTNNB1 	hsa-miR-340-5p
ICMT 	hsa-miR-20a-5p
ICMT 	hsa-miR-181c-5p
FNDC3B 	hsa-miR-20a-5p
FNDC3B 	hsa-miR-423-3p
CCND1 	hsa-miR-15b-5p
CCND1 	hsa-miR-340-5p
TOP2A 	hsa-miR-96-5p
HMGXB4 	hsa-miR-20a-5p
HMGXB4 	hsa-miR-27b-3p
DCP2 	hsa-miR-181c-5p
DCP2 	hsa-miR-27b-3p
FBXO28 	hsa-miR-27b-3p
WDR33 	hsa-miR-181c-5p
ZNF607 	hsa-miR-769-5p
PPP1R15B 	hsa-miR-20a-5p
PPP1R15B 	hsa-miR-340-5p
SYBU 	hsa-miR-20a-5p
ZNF711 	hsa-miR-20a-5p
ZNF711 	hsa-miR-181c-5p
ALG10B 	hsa-miR-181c-5p
PHC3 	hsa-miR-15b-5p
EXOSC1 	hsa-miR-27b-3p
EEF2 	hsa-miR-96-5p
HNRNPAB 	hsa-miR-340-5p
HIST2H2AA4 	hsa-miR-615-3p
KHSRP 	hsa-miR-20a-5p
NECAP1 	hsa-miR-27b-3p
SF3B3 	hsa-miR-181c-5p
ATP5G3 	hsa-miR-27b-3p
SMC4 	hsa-miR-20a-5p
PRCP 	hsa-miR-15b-5p
HUS1 	hsa-miR-20a-5p
ZNF268 	hsa-miR-27b-3p
ZNF217 	hsa-miR-340-5p
POLR2D 	hsa-miR-15b-5p
POLR2D 	hsa-miR-340-5p
POLR2D 	hsa-miR-615-3p
PISD 	hsa-miR-15b-5p
PNPT1 	hsa-miR-181c-5p
ZNF134 	hsa-miR-20a-5p
TRUB1 	hsa-miR-20a-5p
TRUB1 	hsa-miR-181c-5p
CCR10 	hsa-miR-15b-5p
UBQLN2 	hsa-miR-423-3p
CD81 	hsa-miR-15b-5p
LAPTM4A 	hsa-miR-340-5p
ISYNA1 	hsa-miR-15b-5p
ISYNA1 	hsa-miR-615-3p
CCNT1 	hsa-miR-15b-5p
CCNT1 	hsa-miR-340-5p
TSG101 	hsa-miR-20a-5p
TSG101 	hsa-miR-181c-5p
IKBKB 	hsa-miR-15b-5p
TMEM66 	hsa-miR-27b-3p
FAM181B 	hsa-miR-15b-5p
DYRK2 	hsa-miR-15b-5p
SGMS1 	hsa-miR-20a-5p
PANK3 	hsa-miR-340-5p
ASH1L 	hsa-miR-15b-5p
DDX21 	hsa-miR-15b-5p
KRT18 	hsa-miR-15b-5p
DNMT1 	hsa-miR-152
AKT1 	hsa-miR-149-3p
UBAP1 	hsa-miR-141-3p
E2F3 	hsa-miR-141-3p
PPM1A 	hsa-miR-377-3p
HIF1A 	hsa-miR-20a-5p
MYC 	hsa-miR-20a-5p
C5orf51 	hsa-miR-769-5p
C5orf51 	hsa-miR-340-5p
SMAD5 	hsa-miR-20a-5p
SMAD5 	hsa-miR-181c-5p
HIST1H2BJ 	hsa-miR-15b-5p
HIST1H2BJ 	hsa-miR-27b-3p
RAB18 	hsa-miR-15b-5p
ABHD5 	hsa-miR-20a-5p
ZNF180 	hsa-miR-181c-5p
ARHGDIA 	hsa-miR-769-5p
ARHGDIA 	hsa-miR-15b-5p
SLC11A2 	hsa-miR-769-5p
GLO1 	hsa-miR-20a-5p
ARNTL2 	hsa-miR-340-5p
NRXN2 	hsa-miR-15b-5p
KPNA1 	hsa-miR-15b-5p
KRT10 	hsa-miR-20a-5p
C3orf70 	hsa-miR-423-3p
EIF4A2 	hsa-miR-20a-5p
ZNF132 	hsa-miR-181c-5p
PCBP1 	hsa-miR-340-5p
AGPS 	hsa-miR-340-5p
CCDC82 	hsa-miR-181c-5p
UBA1 	hsa-miR-96-5p
KLF3 	hsa-miR-20a-5p
GPBP1L1 	hsa-miR-20a-5p
GPBP1L1 	hsa-miR-615-3p
MAPRE3 	hsa-miR-20a-5p
ZDHHC4 	hsa-miR-15b-5p
LIFR 	hsa-miR-27b-3p
DEPDC1 	hsa-miR-20a-5p
AGAP2 	hsa-miR-27b-3p
PSAT1 	hsa-miR-20a-5p
PSAT1 	hsa-miR-15b-5p
MYO9A 	hsa-miR-181c-5p
PPM1A 	hsa-miR-181c-5p
MKLN1 	hsa-miR-27b-3p
FAM83D 	hsa-miR-20a-5p
SF3B2 	hsa-miR-27b-3p
